Date,Price,Open,High,Low,Vol.,Change %
2020-09-03,0.09478,0.114942,0.11687,0.092752,982.10M,-17.54%
2020-09-02,0.114942,0.124517,0.126365,0.110953,692.55M,-7.69%
2020-09-01,0.124519,0.122456,0.127981,0.119112,647.01M,1.68%
2020-08-31,0.122458,0.1175,0.12655,0.113127,805.51M,4.22%
2020-08-30,0.1175,0.116248,0.118697,0.11374,438.73M,1.07%
2020-08-29,0.116258,0.109279,0.117846,0.108214,430.43M,6.37%
2020-08-28,0.109299,0.107191,0.111309,0.106064,498.13M,1.97%
2020-08-27,0.107191,0.114404,0.115604,0.102238,734.80M,-6.31%
2020-08-26,0.114404,0.112386,0.118123,0.110229,601.41M,1.79%
2020-08-25,0.112389,0.123647,0.123944,0.105508,868.15M,-9.10%
2020-08-24,0.123638,0.121384,0.126866,0.120054,403.13M,1.85%
2020-08-23,0.121396,0.125265,0.125863,0.119502,365.80M,-3.09%
2020-08-22,0.125262,0.122938,0.126172,0.118414,459.12M,1.90%
2020-08-21,0.122929,0.133996,0.134235,0.121531,568.98M,-8.26%
2020-08-20,0.133999,0.129631,0.134434,0.126065,465.46M,3.40%
2020-08-19,0.129592,0.136966,0.138217,0.126564,632.39M,-5.39%
2020-08-18,0.13697,0.14048,0.143867,0.13447,503.01M,-2.50%
2020-08-17,0.14048,0.1388,0.144718,0.137387,652.12M,1.21%
2020-08-16,0.138808,0.138411,0.139535,0.135042,373.36M,0.29%
2020-08-15,0.138406,0.13826,0.141637,0.136461,468.83M,0.10%
2020-08-14,0.138265,0.139374,0.141045,0.137468,437.03M,-0.80%
2020-08-13,0.139374,0.13666,0.141924,0.132162,629.97M,1.99%
2020-08-12,0.136654,0.136858,0.137759,0.124255,688.90M,-0.14%
2020-08-11,0.13685,0.143854,0.144353,0.131849,577.55M,-4.87%
2020-08-10,0.143853,0.145176,0.146469,0.14192,538.55M,-0.91%
2020-08-09,0.145173,0.146783,0.152164,0.142087,680.86M,-1.09%
2020-08-08,0.146779,0.138777,0.147473,0.137323,497.23M,5.77%
2020-08-07,0.138776,0.1443,0.147007,0.133297,545.18M,-3.83%
2020-08-06,0.144299,0.142214,0.145657,0.139954,443.60M,1.46%
2020-08-05,0.142218,0.143259,0.145196,0.14026,460.38M,-0.73%
2020-08-04,0.143259,0.137208,0.147885,0.136314,677.47M,4.41%
2020-08-03,0.137207,0.133717,0.139069,0.13217,424.27M,2.61%
2020-08-02,0.133717,0.144154,0.148239,0.126653,902.03M,-7.24%
2020-08-01,0.144153,0.138847,0.146587,0.138303,674.87M,3.82%
2020-07-31,0.138845,0.14047,0.141051,0.135947,416.19M,-1.15%
2020-07-30,0.14046,0.139217,0.142483,0.137021,498.13M,0.89%
2020-07-29,0.139218,0.148791,0.149661,0.138555,817.30M,-6.43%
