Trade DATE,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,AGG,SPY,VTI,VTV,VOE,VBR,VEA,VWO,IEMG,BTC,ADA,ETH,UNI,GLD,BAR,UGL,DBP,ZI,ZG
2021-04-29,154.64,234.79,133.48,236.0,227.53,51.45,106.9,353.08,325.4,223.93,144.25,58.29,164.19,54.26,155.2,235.25,199.07,73.7,252.46,133.27,132.5,155.7,401.65,234.36,57.31,236.86,52.74,139.62,185.29,114.37,419.99,218.75,136.8,141.65,174.41,51.3,53.76,66.59,53560.8,1.306997,2757.36,41.05,166.26,17.625,57.96,49.42,52.04,135.17
2021-04-30,153.4,239.62,131.53,234.38,228.15,50.94,103.05,348.45,323.77,222.98,141.91,57.55,162.64,53.99,153.8101,236.08,197.21,74.52,252.27,132.62,133.43,154.69,399.18,230.31,57.82,233.81,53.11,139.93,186.1,114.5,417.3,217.11,136.02,140.91,172.23,50.62,52.98,65.48,57720.3,1.352103,2772.78,40.659,165.67,17.565,57.56,49.16,51.88,133.35
2021-05-03,154.81,245.37,132.5563,235.2,228.17,51.18,105.53,350.03,330.29,223.21,144.75,57.26,165.21,54.5,153.37,235.48,198.56,75.96,251.8801,133.04,135.0,156.6,405.94,223.74,57.9201,232.72,54.3,142.13,185.54,114.4,418.18,217.47,137.31,141.905,173.89,51.16,52.955,65.47,57169.8,1.36216,3429.37,42.265,167.84,17.797,59.1,50.18,49.91,129.11
2021-05-04,154.55,247.41,127.93,233.74,233.48,50.71,106.12,349.99,332.97,225.6,145.77,56.95,167.81,54.15,155.5102,233.95,199.48,76.0,247.93,131.61,134.58,158.54,411.64,217.33,58.61,232.22,54.14,140.74,184.2811,114.5285,415.64,215.8693,137.68,141.96,173.8801,50.5,52.275,64.71,53741.5,1.288982,3286.71,42.662,166.56,17.665,58.17,49.74,48.5,123.57
2021-05-05,156.4,249.35,128.16,228.17,237.92,51.13,108.95,357.62,332.12,226.18,145.24,56.84,167.12,54.0,157.5201,235.08,201.49,77.71,246.51,132.17,133.44,159.29,412.51,215.47,58.695,229.3,54.47,140.62,181.5,114.61,415.72,215.65,138.36,142.21,174.18,51.12,52.52,65.03,57441.3,1.4779959999999999,3522.76,42.441,167.31,17.75,58.74,49.9,46.48,115.27
2021-05-06,156.92,251.3,129.72,229.79,237.15,52.44,108.972,365.97,337.59,228.63,148.42,57.1917,167.77,54.54,160.68,234.86,202.41,77.78,249.71,133.47,135.15,160.42,415.01,218.03,59.28,231.25,54.46,141.03,181.755,114.65,419.08,216.89,139.6201,143.11,175.46,51.52,53.01,65.66,56405.4,1.647846,3489.52,40.224000000000004,170.06,18.04,60.63,50.89,45.57,114.01
2021-05-07,158.96,254.09,130.2,235.46,240.98,53.41,109.995,370.82,339.28,228.78,145.36,57.67,168.49,54.5,161.24,234.71,203.06,78.4,252.33,137.79,135.12,160.74,417.4,216.46,58.72,232.17,54.51,140.15,184.815,114.645,422.09,218.71,140.62,144.87,177.36,52.145,53.5,66.39,57337.2,1.653198,3481.22,39.753,171.6,18.2,61.84,51.35,42.96,119.39
2021-05-10,158.74,252.63,126.9,232.95,242.61,53.18,109.59,368.67,341.13,230.9,146.2,55.99,170.39,54.9,161.27,237.0,207.4,78.19,247.27,136.37,137.68,161.68,420.91,213.89,59.52,225.97,55.12,140.86,184.29,114.43,417.98,216.06,140.8,144.74,175.42,51.86,52.49,65.23,55848.9,1.643057,3947.9,36.378,172.14,18.255,62.19,51.27,42.505,113.8
2021-05-11,154.45,252.3,125.8492,228.79,239.35,52.83,106.69,360.08,330.68,229.15,144.22,55.04,168.8,54.32,158.55,233.88,203.73,77.45,246.228,137.12,136.96,156.69,411.9,215.63,58.54,225.56,54.24,139.54,181.68,114.19,414.27,214.44,138.92,142.71,173.64,51.25,52.35,64.99,56695.7,1.763466,4167.78,38.523,172.15,18.255,62.14,51.48,43.29,116.14
2021-05-12,152.31,250.86,122.8255,220.79,237.3,51.6,107.37,354.41,317.0699,220.04,141.29,53.62,168.2,54.04,157.5499,227.93,198.88,78.0,239.03,133.38,135.53,153.75,405.3,210.55,58.42,220.59,53.05,135.935,177.85,113.79,405.44,209.52,136.67,139.2,168.48,50.34,51.01,63.18,49384.2,1.567691,3811.77,35.9,170.43,18.08,60.92,50.8955,42.02,109.88
2021-05-13,154.04,252.2,124.92,222.65,240.06,52.48,106.665,358.84,325.37,223.83,144.18,53.9999,169.89,54.5,161.44,229.69,203.35,78.67,242.88,133.62,137.72,157.73,408.43,211.79,58.78,223.67,54.12,138.24,178.13,114.015,410.26,211.95,138.6,141.51,171.825,50.7,50.97,63.16,49704.6,1.929455,3719.62,37.301,171.14,18.16,61.4038,51.05,39.7,108.3
2021-05-14,157.15,251.35,127.44,228.49,242.12,52.9,109.45,368.76,323.51,227.35,144.66,55.33,170.19,54.71,164.01,231.68,204.38,78.275,248.15,135.93,138.01,160.54,409.58,217.6,58.69,226.89,54.71,139.51,173.61,114.28,416.53,215.52,140.17,143.67,175.25,51.52,51.81,64.23,49839.8,2.0055680000000002,4075.38,40.407,172.68,18.32,62.48,51.5,40.16,113.33
2021-05-17,156.81,252.39,126.26,227.99,244.83,52.96,110.81,369.34,320.25,226.59,145.09,55.34,170.46,54.64,164.6998,231.68,205.1,79.87,245.18,136.44,137.76,160.27,408.64,215.04,57.95,226.45,55.31,138.93,170.08,114.165,415.54,214.98,140.25,143.99,175.89,51.43,51.83,64.11,43541.3,2.031362,3279.68,33.298,174.72,18.54,64.05,52.28,39.99,111.59
